   (-0.000000,-0.271262) |0000001> +
   (-0.000000,-0.226753) |0001001> +
   (-0.000000,+0.226753) |0010010> +
   (-0.000000,-0.271262) |0010011> +
   (+0.000000,-0.271262) |0011010> +
   (-0.000000,-0.226753) |0011011> +
   (-0.000000,-0.271262) |0100101> +
   (-0.000000,-0.226753) |0101101> +
   (-0.000000,-0.271262) |0110000> +
   (-0.000000,-0.271262) |0110100> +
   (-0.000000,+0.226753) |0110110> +
   (-0.000000,-0.271262) |0110111> +
   (-0.000000,-0.226753) |0111000> +
   (-0.000000,-0.226753) |0111100> +
   (+0.000000,-0.271262) |0111110> +
   (-0.000000,-0.226753) |0111111> +
